               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,           0.0099394,            0.001939,           0.0023634,             0.99844,                   1,               0.995,             0.95682,           0.0074729,           0.0015403,           0.0012934,           0.0074458,           0.0074458,           0.0074458
                 131,            0.010841,           0.0020517,            0.001797,             0.99844,                   1,               0.995,             0.97474,           0.0055107,            0.001523,           0.0012868,            0.007426,            0.007426,            0.007426
                 132,           0.0096338,           0.0020271,           0.0016753,             0.99845,                   1,               0.995,             0.96803,           0.0066999,            0.001579,           0.0012603,           0.0074062,           0.0074062,           0.0074062
                 133,           0.0096353,           0.0019496,           0.0016757,             0.99857,                   1,               0.995,             0.97348,           0.0069683,           0.0016027,           0.0012447,           0.0073864,           0.0073864,           0.0073864
                 134,           0.0091548,            0.002005,           0.0018296,             0.99888,                   1,               0.995,             0.97773,           0.0048455,           0.0015002,           0.0012619,           0.0073666,           0.0073666,           0.0073666
                 135,           0.0093077,           0.0019207,           0.0018266,             0.99814,                   1,               0.995,             0.97398,           0.0089805,           0.0015353,           0.0012122,           0.0073468,           0.0073468,           0.0073468
                 136,           0.0088695,           0.0019649,           0.0017222,             0.99833,                   1,               0.995,             0.97371,           0.0065346,           0.0015818,           0.0011966,            0.007327,            0.007327,            0.007327
                 137,            0.010729,           0.0019011,           0.0017668,             0.99834,                   1,               0.995,             0.97062,           0.0059014,           0.0015659,           0.0012872,           0.0073072,           0.0073072,           0.0073072
                 138,           0.0092977,            0.002044,           0.0018951,             0.99859,                   1,               0.995,             0.96138,           0.0064778,           0.0015567,           0.0012747,           0.0072874,           0.0072874,           0.0072874
                 139,           0.0095523,           0.0020104,           0.0016946,             0.99876,                   1,               0.995,             0.97371,           0.0053846,           0.0015153,           0.0012238,           0.0072676,           0.0072676,           0.0072676
                 140,           0.0082636,           0.0018525,             0.00151,             0.99832,                   1,               0.995,             0.97053,            0.005154,           0.0015062,           0.0012036,           0.0072478,           0.0072478,           0.0072478
                 141,           0.0090496,            0.001935,           0.0016925,             0.99863,                   1,               0.995,             0.96617,           0.0058507,           0.0015485,           0.0012502,            0.007228,            0.007228,            0.007228
                 142,           0.0088566,           0.0020275,           0.0017205,             0.99853,                   1,               0.995,             0.96952,           0.0057336,           0.0016536,           0.0012329,           0.0072082,           0.0072082,           0.0072082
                 143,           0.0097763,           0.0019305,           0.0016229,             0.99865,                   1,               0.995,             0.96835,           0.0053672,            0.001543,           0.0011461,           0.0071884,           0.0071884,           0.0071884
                 144,            0.011014,            0.001984,           0.0015426,              0.9984,                   1,               0.995,             0.97501,           0.0058017,           0.0015477,           0.0011383,           0.0071686,           0.0071686,           0.0071686
                 145,           0.0091426,           0.0019979,           0.0015029,             0.99849,                   1,               0.995,             0.96568,           0.0058038,           0.0016702,           0.0011471,           0.0071488,           0.0071488,           0.0071488
                 146,           0.0095142,           0.0020389,           0.0019572,             0.99851,                   1,               0.995,             0.94913,           0.0066219,           0.0015313,           0.0012213,            0.007129,            0.007129,            0.007129
                 147,           0.0089133,           0.0019017,           0.0016575,             0.99874,                   1,               0.995,             0.96486,           0.0060426,           0.0016184,           0.0012575,           0.0071092,           0.0071092,           0.0071092
                 148,           0.0090093,           0.0019574,           0.0016179,             0.99886,                   1,               0.995,             0.97103,           0.0058685,           0.0015186,           0.0012058,           0.0070894,           0.0070894,           0.0070894
                 149,           0.0088366,           0.0019453,           0.0015652,             0.99863,                   1,               0.995,             0.97677,           0.0052811,           0.0014933,           0.0011925,           0.0070696,           0.0070696,           0.0070696
                 150,            0.010379,            0.001851,           0.0015062,             0.99868,                   1,               0.995,             0.96275,           0.0056554,           0.0016062,           0.0011319,           0.0070498,           0.0070498,           0.0070498
